PolicyID,CustomerID,ProductLine,Region,Channel,PolicyStartDate,PolicyEndDate,Exposure,Premium,ClaimCount,ClaimAmount,Age,VehicleAge
POL-100035,CUST-52606,Motor,South,Broker,2022-02-16,2022-09-26,0.399,308.84,0,0.0,63.0,6
POL-100036,CUST-51616,Commercial,South,Direct,2023-09-19,2024-09-03,0.922,1134.31,0,0.0,45.0,9
POL-100037,CUST-52220,Motor,West,Agent,2023-08-28,2024-06-05,0.393,380.7,0,0.0,33.0,2
POL-100038,CUST-52398,Motor,North,Direct,2022-07-22,2023-07-22,0.913,779.02,0,0.0,48.0,4
POL-100039,CUST-51698,Commercial,West,Online,2023-04-07,2023-11-13,0.822,888.16,0,0.0,59.0,4
POL-100040,CUST-51078,Motor,Central,Agent,2022-05-01,2023-01-01,0.431,467.33,0,0.0,56.0,19
POL-100041,CUST-51574,Commercial,Central,Direct,2023-07-08,2024-02-03,0.363,466.5,1,4004.09,27.0,8
POL-100042,CUST-52496,Motor,South,Direct,2023-05-27,2024-02-05,0.487,468.9,0,0.0,71.0,17
POL-100043,CUST-50957,Home,Central,Agent,2022-09-16,2023-06-27,0.548,382.76,0,0.0,34.0,11
POL-100044,CUST-52533,Home,South,Agent,2022-02-19,2023-01-15,0.434,198.93,0,0.0,64.0,10
POL-100045,CUST-50609,Commercial,South,Direct,2023-12-10,2024-08-14,0.999,2025.25,0,0.0,35.0,18
POL-100046,CUST-51386,Motor,South,Agent,2022-11-22,2023-10-11,0.422,363.49,0,0.0,21.0,13
POL-100047,CUST-50250,Motor,North,Agent,2023-10-14,2024-08-05,0.873,626.1,0,0.0,74.0,4
POL-100048,CUST-52562,Home,South,Online,2023-05-10,2023-12-30,0.369,230.09,0,0.0,51.0,5
POL-100049,CUST-52137,Liability,Central,Broker,2023-07-23,2024-07-06,0.985,1083.2,0,0.0,30.0,13
POL-100050,CUST-50354,Commercial,West,Direct,2023-07-09,2024-03-25,0.419,426.58,0,0.0,18.0,0
POL-100051,CUST-50667,Commercial,South,Direct,2022-05-23,2022-12-17,0.566,746.91,0,0.0,25.0,3
POL-100052,CUST-51583,Home,South,Broker,2022-09-23,2023-09-17,0.669,446.07,0,0.0,27.0,1
POL-100053,CUST-51486,Home,South,Direct,2022-12-07,2023-11-21,0.34,250.04,0,0.0,70.0,14
POL-100054,CUST-50337,Commercial,North,Agent,2022-12-30,2023-07-07,0.863,1150.38,0,0.0,28.0,8
POL-100055,CUST-52669,Commercial,North,Agent,2022-02-01,2023-01-14,0.456,649.79,0,0.0,27.0,0
POL-100056,CUST-51382,Commercial,Central,Direct,2023-02-03,2024-01-25,0.662,820.58,0,0.0,65.0,14
POL-100057,CUST-52013,Commercial,West,Online,2022-04-23,2023-03-23,0.662,868.83,1,13962.41,68.0,13
POL-100058,CUST-52257,Commercial,West,Broker,2023-06-27,2024-02-09,0.702,1202.29,0,0.0,29.0,14
POL-100059,CUST-50507,Motor,South,Online,2023-05-14,2024-03-06,0.292,232.34,0,0.0,55.0,3
POL-100060,CUST-51000,Motor,Central,Direct,2023-11-05,2024-08-11,0.376,286.28,0,0.0,48.0,17
POL-100061,CUST-52203,Liability,North,Broker,2023-06-28,2024-04-18,0.371,330.49,0,0.0,50.0,3
POL-100062,CUST-52321,Home,Central,Broker,2022-09-25,2023-07-16,0.477,333.85,0,0.0,35.0,11
POL-100063,CUST-50644,Motor,East,Agent,2023-12-08,2024-10-01,0.359,333.4,0,0.0,60.0,11
POL-100064,CUST-50958,Home,South,Direct,2022-10-27,2023-07-29,0.941,574.57,0,0.0,68.0,4
POL-100065,CUST-52339,Home,West,Agent,2022-08-26,2023-06-30,0.635,449.85,1,10497.73,59.0,7
POL-100066,CUST-51031,Commercial,East,Broker,2023-10-24,2024-07-27,0.718,1197.22,0,0.0,69.0,1
POL-100067,CUST-50233,Commercial,South,Agent,2022-09-28,2023-03-30,0.518,532.66,0,0.0,24.0,9
POL-100068,CUST-51493,Motor,West,Online,2022-02-25,2022-08-30,0.457,364.11,0,0.0,55.0,13
POL-100069,CUST-50425,Home,West,Broker,2022-12-09,2023-12-02,0.627,338.59,0,0.0,74.0,6
POL-100070,CUST-51781,Motor,West,Broker,2023-08-04,2024-07-18,0.471,512.6,0,0.0,48.0,10
POL-100071,CUST-52802,Commercial,East,Broker,2022-05-19,2023-03-03,0.508,657.64,0,0.0,71.0,19
POL-100072,CUST-50302,Motor,South,Agent,2022-12-04,2023-07-04,0.59,462.44,0,0.0,37.0,4
POL-100073,CUST-50840,Home,East,Broker,2022-04-05,2023-02-24,0.629,419.79,1,3316.58,69.0,5
POL-100074,CUST-51699,Home,Central,Direct,2023-05-17,2023-12-09,0.988,663.51,0,0.0,71.0,2
POL-100075,CUST-50451,Home,South,Direct,2022-12-14,2023-08-21,0.417,327.75,0,0.0,53.0,10
POL-100076,CUST-51604,Home,Central,Broker,2022-08-30,2023-04-28,0.616,371.05,0,0.0,58.0,4
POL-100077,CUST-50644,Commercial,North,Online,2022-06-15,2022-12-14,0.362,470.74,0,0.0,47.0,17
POL-100078,CUST-51907,Home,North,Agent,2023-02-17,2024-01-13,0.512,357.36,0,0.0,36.0,5
POL-100079,CUST-51083,Motor,South,Online,2023-05-04,2024-02-02,0.788,810.32,0,0.0,48.0,13
POL-100080,CUST-52776,Motor,North,Agent,2023-11-18,2024-07-13,0.381,451.71,0,0.0,72.0,3
POL-100081,CUST-52512,Home,Central,Online,2022-11-16,2023-08-17,0.686,481.81,0,0.0,18.0,6
POL-100082,CUST-52980,Motor,South,Online,2022-04-28,2022-10-25,0.563,499.37,0,0.0,29.0,3
POL-100083,CUST-50457,Commercial,North,Online,2023-08-31,2024-05-18,0.289,332.37,0,0.0,46.0,11
POL-100084,CUST-52844,Motor,West,Agent,2023-04-05,2024-01-06,0.95,1123.11,1,2288.58,37.0,0
POL-100085,CUST-50047,Commercial,Central,Broker,2023-05-27,2024-01-25,0.56,957.75,0,0.0,53.0,1
POL-100086,CUST-50657,Motor,Central,Online,2022-03-12,2023-02-09,0.838,580.89,0,0.0,38.0,10
POL-100087,CUST-52594,Commercial,North,Broker,2022-08-17,2023-03-31,0.562,832.64,0,0.0,55.0,10
POL-100088,CUST-52586,Motor,West,Broker,2023-07-15,2024-02-05,0.953,884.75,1,1750.07,24.0,6
POL-100089,CUST-50898,Home,South,Broker,2023-08-31,2024-06-04,0.468,247.16,0,0.0,36.0,8
POL-100090,CUST-52525,Motor,Central,Agent,2022-11-14,2023-10-25,0.559,576.23,0,0.0,57.0,8
POL-100091,CUST-50230,Home,West,Broker,2023-08-11,2024-04-16,0.819,586.61,0,0.0,44.0,15
POL-100092,CUST-51008,Motor,West,Agent,2023-09-07,2024-03-13,0.508,372.91,1,3286.1,58.0,8
POL-100093,CUST-50083,Commercial,Central,Direct,2022-10-10,2023-10-05,0.523,1056.25,0,0.0,54.0,16
POL-100094,CUST-51551,Home,Central,Broker,2023-10-18,2024-07-06,0.996,842.34,1,4705.24,36.0,4
POL-100095,CUST-52698,Liability,North,Agent,2022-07-30,2023-02-27,0.667,579.05,0,0.0,42.0,3
POL-100096,CUST-51840,Commercial,West,Agent,2022-06-24,2023-04-14,0.767,1122.46,0,0.0,72.0,8
POL-100097,CUST-51569,Home,North,Online,2023-05-14,2024-01-08,0.733,602.77,0,0.0,72.0,1
POL-100098,CUST-50594,Commercial,Central,Broker,2023-04-10,2024-03-29,0.871,1243.26,0,0.0,20.0,13
POL-100099,CUST-51831,Motor,West,Direct,2022-04-13,2022-12-03,0.896,1042.15,0,0.0,58.0,7
POL-100100,CUST-50972,Home,North,Direct,2023-08-31,2024-06-08,0.672,350.1,0,0.0,45.0,7
POL-100101,CUST-51848,Motor,South,Direct,2022-05-26,2023-03-03,0.471,483.15,0,0.0,18.0,10
POL-100102,CUST-50391,Commercial,Central,Broker,2023-08-11,2024-03-23,0.267,433.47,0,0.0,54.0,1
POL-100103,CUST-51566,Motor,West,Direct,2022-01-06,2022-10-05,0.711,569.5,0,0.0,19.0,7
POL-100104,CUST-51492,Motor,South,Agent,2023-08-05,2024-02-21,0.869,888.19,0,0.0,36.0,19
POL-100105,CUST-52307,Home,Central,Broker,2023-07-29,2024-05-23,0.588,261.37,0,0.0,57.0,12
POL-100106,CUST-52727,Home,West,Agent,2023-07-24,2024-06-09,0.374,199.79,0,0.0,64.0,11
POL-100107,CUST-52718,Motor,North,Online,2023-05-01,2024-04-21,0.466,349.72,0,0.0,41.0,10
POL-100108,CUST-51024,Home,South,Broker,2022-12-11,2023-08-08,0.632,306.51,0,0.0,64.0,9
POL-100109,CUST-51923,Commercial,Central,Agent,2023-05-30,2024-01-18,0.878,921.44,0,0.0,65.0,18
POL-100110,CUST-51959,Motor,South,Direct,2022-07-22,2023-04-30,0.379,305.1,0,0.0,43.0,18
POL-100111,CUST-52531,Motor,North,Agent,2023-07-24,2024-05-27,0.709,513.94,0,0.0,27.0,8
POL-100112,CUST-52421,Liability,West,Broker,2023-02-10,2024-02-09,0.815,633.37,0,0.0,55.0,18
POL-100113,CUST-50028,Liability,Central,Online,2022-12-02,2023-06-04,0.952,755.81,0,0.0,18.0,1
POL-100114,CUST-52402,Motor,East,Direct,2023-01-05,2023-08-17,0.338,367.28,0,0.0,68.0,6
POL-100115,CUST-51440,Home,Central,Direct,2023-02-20,2023-10-06,0.945,449.05,0,0.0,40.0,6
POL-100116,CUST-52851,Motor,North,Broker,2022-01-28,2022-09-12,0.701,719.43,0,0.0,61.0,13
POL-100117,CUST-51812,Liability,West,Broker,2022-04-13,2023-01-04,0.825,596.49,0,0.0,59.0,12
POL-100118,CUST-51160,Motor,West,Agent,2022-06-29,2023-06-06,0.29,179.56,0,0.0,44.0,9
POL-100119,CUST-50603,Motor,Central,Direct,2022-03-25,2022-09-26,0.63,540.62,0,0.0,73.0,5
POL-100120,CUST-52847,Motor,East,Broker,2022-11-17,2023-10-14,0.717,589.52,0,0.0,63.0,10
POL-100121,CUST-50480,Home,Central,Agent,2023-05-03,2024-02-21,0.48,322.01,0,0.0,68.0,5
POL-100122,CUST-50270,Motor,North,Agent,2023-04-23,2024-02-11,0.574,581.5,0,0.0,23.0,9
POL-100123,CUST-50408,Commercial,North,Agent,2022-12-10,2023-10-12,0.666,885.42,0,0.0,45.0,6
POL-100124,CUST-51654,Home,West,Agent,2023-09-17,2024-04-05,0.664,344.2,0,0.0,72.0,17
POL-100125,CUST-50854,Home,North,Agent,2023-02-17,2024-01-01,0.281,222.21,0,0.0,64.0,14
POL-100126,CUST-51742,Commercial,Central,Broker,2022-02-27,2022-10-11,0.58,686.02,0,0.0,43.0,3
POL-100127,CUST-52470,Motor,North,Broker,2023-07-13,2024-04-14,0.41,438.73,0,0.0,22.0,18
POL-100128,CUST-50873,Motor,West,Broker,2023-02-24,2023-12-26,0.938,885.8,0,0.0,34.0,13
POL-100129,CUST-50082,Motor,East,Agent,2023-04-09,2024-01-26,0.982,753.37,0,0.0,50.0,7
POL-100130,CUST-51077,Commercial,West,Broker,2023-02-17,2023-10-15,0.475,633.64,0,0.0,54.0,10
POL-100131,CUST-51807,Motor,West,Online,2023-02-09,2023-10-20,0.381,310.71,1,1736.15,70.0,3
POL-100132,CUST-52185,Commercial,East,Agent,2022-03-08,2022-12-01,0.415,670.2,1,21612.53,23.0,0
POL-100133,CUST-50204,Home,East,Agent,2023-02-13,2023-08-19,0.608,522.37,0,0.0,40.0,8
POL-100134,CUST-52635,Home,East,Broker,2023-08-04,2024-06-14,0.906,518.35,0,0.0,33.0,15
POL-100135,CUST-51779,Home,West,Agent,2022-08-10,2023-02-24,0.625,526.73,0,0.0,72.0,7
POL-100136,CUST-51444,Motor,West,Agent,2023-03-17,2023-12-07,0.292,209.38,0,0.0,27.0,7
POL-100137,CUST-50756,Motor,East,Broker,2022-01-23,2022-11-20,0.28,185.42,0,0.0,30.0,19
POL-100138,CUST-52876,Commercial,South,Broker,2022-09-11,2023-03-24,0.421,654.7,0,0.0,34.0,19
POL-100139,CUST-50472,Motor,North,Online,2022-11-15,2023-11-15,0.882,1037.24,0,0.0,24.0,9
POL-100140,CUST-51346,Home,West,Online,2023-12-19,2024-08-25,0.716,461.41,0,0.0,54.0,0
POL-100141,CUST-51397,Liability,South,Broker,2022-06-06,2022-12-05,0.672,829.75,0,0.0,47.0,13
POL-100142,CUST-51640,Motor,East,Broker,2022-07-21,2023-05-19,0.489,428.44,0,0.0,49.0,14
POL-100143,CUST-50693,Motor,Central,Online,2022-10-26,2023-08-05,0.947,1042.41,0,0.0,69.0,18
POL-100144,CUST-52830,Motor,West,Broker,2023-12-26,2024-10-20,0.498,537.13,0,0.0,42.0,18
POL-100145,CUST-51134,Motor,South,Online,2023-09-15,2024-07-30,0.876,878.88,0,0.0,35.0,12
POL-100146,CUST-52136,Liability,East,Direct,2022-01-26,2022-10-21,0.922,1021.73,1,38458.13,39.0,2
POL-100147,CUST-51899,Liability,South,Agent,2022-06-20,2023-05-19,0.613,638.41,0,0.0,63.0,4
POL-100148,CUST-50608,Motor,West,Agent,2023-08-23,2024-04-27,0.921,1072.29,0,0.0,48.0,14
POL-100149,CUST-52808,Liability,North,Agent,2022-02-12,2022-11-20,0.0,489.31,0,0.0,27.0,12
POL-100150,CUST-51380,Motor,Central,Online,2023-09-17,2024-04-13,0.744,591.92,0,0.0,57.0,8
POL-100151,CUST-51853,Liability,Central,Agent,2022-07-25,2023-05-16,0.316,408.02,0,0.0,60.0,8
POL-100152,CUST-51937,Commercial,South,Direct,2023-11-01,2024-06-16,0.605,1019.39,0,0.0,32.0,14
POL-100153,CUST-51521,Motor,South,Broker,2022-08-03,2023-06-08,0.413,382.9,0,0.0,49.0,8
POL-100154,CUST-51914,Home,East,Online,2022-11-14,2023-10-08,0.297,216.83,0,0.0,50.0,3
POL-100155,CUST-51671,Commercial,West,Direct,2023-04-29,2024-04-02,0.253,346.38,0,0.0,27.0,19
POL-100156,CUST-52221,Motor,West,Agent,2022-04-03,2023-03-21,0.494,417.63,0,0.0,18.0,6
POL-100157,CUST-51416,Motor,North,Agent,2023-02-11,2023-09-01,0.692,492.27,0,0.0,58.0,5
POL-100158,CUST-52437,Home,West,Broker,2023-01-04,2023-07-28,0.591,475.8,0,0.0,53.0,1
POL-100159,CUST-51688,Motor,North,Online,2023-07-27,2024-07-13,0.476,471.73,0,0.0,58.0,9
POL-100160,CUST-52995,Motor,South,Direct,2023-12-29,2024-09-04,0.993,1077.84,0,0.0,39.0,19
POL-100161,CUST-51710,Motor,West,Broker,2023-04-30,2023-10-31,0.955,748.57,0,0.0,47.0,3
POL-100162,CUST-51770,Commercial,Central,Online,2022-10-26,2023-06-16,0.344,696.73,0,0.0,73.0,4
POL-100163,CUST-51476,Motor,West,Broker,2022-10-24,2023-09-24,0.561,453.03,0,0.0,30.0,3
POL-100164,CUST-51191,Home,North,Agent,2022-11-02,2023-07-06,0.737,433.0,0,0.0,55.0,1
POL-100165,CUST-52365,Motor,West,Online,2023-08-18,2024-02-28,0.8,933.26,0,0.0,25.0,12
POL-100166,CUST-51903,Motor,North,Broker,2022-08-23,2023-07-03,0.525,517.0,0,0.0,21.0,5
POL-100167,CUST-51172,Home,South,Online,2022-05-02,2022-12-04,0.81,679.68,0,0.0,72.0,15
POL-100168,CUST-52420,Motor,North,Broker,2022-09-02,2023-05-05,0.343,331.26,0,0.0,25.0,8
POL-100169,CUST-50325,Home,Central,Broker,2022-01-17,2021-12-18,0.499,269.94,0,0.0,55.0,12
POL-100170,CUST-50186,Motor,South,Agent,2022-03-19,2023-01-04,0.787,651.23,0,0.0,47.0,1
POL-100171,CUST-51929,Home,East,Broker,2022-03-07,2022-11-24,0.719,580.07,0,0.0,64.0,6
POL-100172,CUST-51374,Motor,West,Agent,2023-07-18,2023-06-18,0.878,778.11,0,0.0,49.0,8
POL-100173,CUST-52388,Commercial,Central,Direct,2023-06-12,2024-02-09,0.285,494.37,0,0.0,57.0,1
POL-100174,CUST-51992,Motor,Central,Agent,2023-05-24,2023-12-28,0.381,264.45,0,0.0,68.0,8
POL-100175,CUST-52340,Commercial,North,Agent,2022-12-04,2023-07-02,0.286,406.34,0,0.0,65.0,9
POL-100176,CUST-50796,Motor,South,Broker,2023-06-08,2024-01-11,0.394,431.22,0,0.0,59.0,8
POL-100177,CUST-50756,Motor,East,Broker,2022-04-28,2023-01-16,0.253,292.19,0,0.0,27.0,10
POL-100178,CUST-50754,Home,West,Broker,2023-10-20,2024-05-03,0.628,360.94,0,0.0,27.0,15
POL-100179,CUST-51941,Motor,South,Direct,2023-01-01,2023-09-12,0.646,450.7,0,0.0,46.0,15
POL-100180,CUST-52022,Home,South,Direct,2023-11-16,2024-10-19,0.743,330.01,0,0.0,55.0,0
POL-100181,CUST-52995,Commercial,West,Broker,2022-04-22,2023-03-10,0.539,616.78,0,0.0,56.0,12
POL-100182,CUST-50650,Commercial,East,Broker,2022-12-30,2023-10-24,0.252,469.53,0,0.0,62.0,18
POL-100183,CUST-50313,Home,West,Agent,2023-05-24,2024-05-04,0.755,476.98,0,0.0,23.0,17
POL-100184,CUST-52874,Liability,South,Broker,2022-12-28,2023-11-18,0.291,257.84,0,0.0,27.0,6
POL-100185,CUST-51568,Home,East,Online,2022-11-22,2023-09-19,0.9,693.57,0,0.0,26.0,15
POL-100186,CUST-51100,Motor,North,Broker,2022-05-02,2023-04-07,0.267,284.92,0,0.0,48.0,16
POL-100187,CUST-50916,Commercial,North,Online,2022-10-06,2023-04-27,0.648,895.92,0,0.0,54.0,7
POL-100188,CUST-52650,Motor,North,Agent,2022-06-24,2023-05-22,0.921,1041.94,0,0.0,24.0,17
POL-100189,CUST-52373,Motor,North,Direct,2022-08-09,2023-03-31,0.679,591.1,0,0.0,67.0,12
POL-100190,CUST-50524,Motor,South,Direct,2023-05-15,2024-03-26,0.706,529.81,0,0.0,35.0,15
POL-100191,CUST-50974,Motor,North,Direct,2023-04-06,2024-03-20,0.761,860.2,1,6534.31,55.0,14
POL-100192,CUST-52610,Motor,North,Direct,2023-03-20,2023-12-17,0.342,234.61,0,0.0,60.0,15
POL-100193,CUST-52200,Motor,Central,Agent,2022-09-22,2023-04-06,0.756,897.82,0,0.0,20.0,19
POL-100194,CUST-52445,Home,Central,Direct,2023-12-02,2024-08-06,0.91,637.14,0,0.0,67.0,17
POL-100195,CUST-50481,Commercial,South,Broker,2022-03-05,2022-11-15,0.981,1907.14,0,0.0,73.0,8
POL-100196,CUST-51738,Liability,Central,Broker,2022-09-08,2023-08-28,0.582,470.65,0,0.0,72.0,11
POL-100197,CUST-50200,Motor,North,Agent,2022-03-28,2023-03-18,0.508,419.87,0,0.0,25.0,12
POL-100198,CUST-51351,Motor,North,Agent,2022-09-05,2023-06-17,0.815,908.39,0,0.0,40.0,17
POL-100199,CUST-50312,Home,South,Online,2023-12-04,2024-11-24,0.657,523.83,0,0.0,31.0,7
POL-100200,CUST-50805,Motor,South,Agent,2022-09-25,2023-06-13,0.443,493.39,0,0.0,43.0,6
POL-100201,CUST-50780,Motor,North,Broker,2023-10-26,2024-07-08,0.379,288.75,1,2994.53,73.0,14
POL-100202,CUST-50565,Home,Central,Agent,2022-12-28,2023-11-28,0.378,265.37,0,0.0,61.0,19
POL-100203,CUST-52548,Commercial,Central,Direct,2023-05-26,2024-03-25,0.594,837.8,0,0.0,61.0,18
POL-100204,CUST-51113,Motor,South,Direct,2022-11-30,2023-09-03,0.378,297.06,0,0.0,42.0,2
POL-100205,CUST-50451,Home,South,Online,2022-07-14,2023-04-04,0.265,174.83,0,0.0,71.0,18
POL-100206,CUST-52965,Home,West,Broker,2023-07-12,2024-05-18,0.289,215.11,0,0.0,70.0,15
POL-100207,CUST-50100,Commercial,Central,Agent,2023-12-09,2024-10-24,0.947,1459.61,0,0.0,63.0,3
POL-100208,CUST-50444,Motor,South,Agent,2022-07-12,2023-04-09,0.305,223.3,0,0.0,64.0,0
POL-100209,CUST-52560,Commercial,West,Agent,2023-07-23,2024-01-24,0.305,559.55,0,0.0,55.0,4
POL-100210,CUST-51353,Commercial,North,Direct,2022-07-10,2023-01-24,0.588,1180.38,0,0.0,23.0,18
POL-100211,CUST-51124,Motor,East,Online,2023-06-08,2023-12-31,0.434,351.94,0,0.0,34.0,15
POL-100212,CUST-50915,Home,Central,Agent,2023-07-30,2024-04-20,0.972,780.1,0,0.0,61.0,11
POL-100213,CUST-51766,Home,East,Broker,2022-11-25,2023-09-15,0.933,754.72,0,0.0,36.0,12
POL-100214,CUST-51076,Motor,West,Direct,2023-06-22,2024-05-16,0.554,415.51,0,0.0,27.0,8
POL-100215,CUST-50251,Home,West,Broker,2022-07-18,2023-02-26,0.587,434.44,0,0.0,71.0,18
POL-100216,CUST-52891,Motor,West,Direct,2022-02-27,2023-01-19,0.531,612.43,0,0.0,45.0,3
POL-100217,CUST-52722,Commercial,West,Broker,2022-03-12,2023-01-09,0.278,490.94,0,0.0,67.0,6
POL-100218,CUST-50528,Motor,Central,Agent,2022-11-23,2023-05-31,0.47,288.05,0,0.0,34.0,4
POL-100219,CUST-51513,Home,North,Broker,2023-10-21,2024-06-22,0.342,238.16,0,0.0,38.0,16
POL-100220,CUST-51360,Motor,Central,Broker,2022-04-04,2022-11-26,0.327,346.02,0,0.0,37.0,10
POL-100221,CUST-50268,Home,Central,Direct,2022-11-29,2023-11-08,0.671,471.22,0,0.0,39.0,13
POL-100222,CUST-51196,Home,Central,Agent,2023-05-29,2024-05-14,0.324,144.66,0,0.0,42.0,18
POL-100223,CUST-51901,Home,South,Broker,2022-05-28,2023-04-25,0.327,158.97,0,0.0,34.0,3
POL-100224,CUST-50312,Home,East,Online,2023-06-11,2024-03-15,0.61,476.96,0,0.0,64.0,19
POL-100225,CUST-51096,Motor,South,Broker,2022-08-12,2023-05-10,0.582,515.3,0,0.0,36.0,2
POL-100226,CUST-50754,Motor,Central,Agent,2023-08-14,2024-04-07,0.353,411.24,0,0.0,43.0,15
POL-100227,CUST-51060,Commercial,East,Online,2023-02-27,2024-01-16,0.253,363.36,0,0.0,67.0,14
POL-100228,CUST-51889,Motor,South,Agent,2023-02-04,2023-08-19,0.395,428.15,0,0.0,42.0,16
POL-100229,CUST-51224,Commercial,West,Direct,2022-05-10,2022-12-26,0.427,448.79,0,0.0,18.0,3
POL-100230,CUST-52303,Home,North,Agent,2022-12-05,2023-06-28,0.85,679.15,0,0.0,18.0,19
POL-100231,CUST-51524,Commercial,South,Online,2023-09-18,2024-06-15,0.937,1768.07,0,0.0,42.0,15
POL-100232,CUST-52075,Motor,South,Agent,2022-01-15,2022-09-07,0.554,448.98,0,0.0,54.0,2
POL-100233,CUST-51857,Home,South,Broker,2023-07-08,2024-02-09,0.554,314.84,0,0.0,71.0,11
POL-100234,CUST-52450,Motor,East,Online,2022-12-26,2023-09-02,0.784,890.93,0,0.0,25.0,16
POL-100235,CUST-50439,Liability,North,Broker,2023-06-10,2024-05-15,0.72,878.04,0,0.0,48.0,9
POL-100236,CUST-52972,Home,Central,Agent,2023-04-30,2024-02-07,0.388,269.08,0,0.0,34.0,7
POL-100237,CUST-52263,Home,East,Agent,2022-11-12,2023-10-11,0.331,206.34,0,0.0,43.0,5
POL-100238,CUST-50594,Commercial,South,Agent,2022-08-14,2023-07-29,0.578,1121.76,0,0.0,43.0,10
POL-100239,CUST-50081,Motor,North,Agent,2023-04-03,2024-03-15,0.674,700.69,0,0.0,35.0,19
POL-100240,CUST-50076,Home,Central,Broker,2022-04-13,2022-12-14,0.354,217.68,0,0.0,19.0,12
